Krankenkasse,Jahr,Quartal,time,churn_rel,predicted_effect_cf
aok nordwest,2016,3,2016 Q3,0.42860419911381553,1.6014837507974014
aok nordwest,2016,4,2016 Q4,0.871005746435527,1.99315186097229
aok nordwest,2017,1,2017 Q1,0.4222317884235933,1.0614664641307272
aok nordwest,2017,2,2017 Q2,0.7151130774927368,0.9781566634564367
aok nordwest,2017,3,2017 Q3,0.6082719326691755,0.9319538851647627
aok nordwest,2017,4,2017 Q4,0.9357743235031899,1.0625765522363038
aok nordwest,2018,1,2018 Q1,-0.14323754921760085,0.43806797950012305
aok nordwest,2018,2,2018 Q2,0.20270738229515328,0.11674329422855599
aok nordwest,2018,3,2018 Q3,0.28032163463278004,-0.2739704257635949
aok nordwest,2018,4,2018 Q4,0.5391850515847812,-0.39887391127914723
aok nordwest,2019,1,2019 Q1,0.27799287487974117,0.9391051672456722
aok nordwest,2019,2,2019 Q2,-0.3191588448431942,1.2996034750480558
aok nordwest,2019,3,2019 Q3,-0.5178311115693597,0.19743188933846914
aok nordwest,2019,4,2019 Q4,0.6814039688646459,0.5063181295433594
aok nordwest,2020,1,2020 Q1,-0.15537683823529413,0.384551648381553
aok nordwest,2020,2,2020 Q2,0.013255890701498975,0.3195468692884381
aok nordwest,2020,3,2020 Q3,0.016889816269173047,-0.26286629015142565
aok nordwest,2020,4,2020 Q4,0.3300090094484175,-0.17373355670288543
aok nordwest,2021,1,2021 Q1,-0.26444131154818784,0.5791784986441403
aok nordwest,2021,2,2021 Q2,0.0263946879540898,0.597559246415948
aok nordwest,2021,3,2021 Q3,0.17110645469448624,0.011431952816216024
aok nordwest,2021,4,2021 Q4,0.48605399967691243,0.44125856453190754
aok nordwest,2022,1,2022 Q1,-0.22515867292482944,0.7999883866337558
aok nordwest,2022,2,2022 Q2,-0.05437974363704359,0.5963235022387455
aok nordwest,2022,3,2022 Q3,0.3978109861966091,0.0826334038179101
aok nordwest,2022,4,2022 Q4,0.9077908066793332,0.6835569562707644
aok nordwest,2023,1,2023 Q1,0.09199673603717844,0.45564816318970397
aok nordwest,2023,2,2023 Q2,-0.11797278315500413,-0.1398394807105809
aok nordwest,2023,3,2023 Q3,0.06773811666330538,-0.2072854517215543
aok nordwest,2023,4,2023 Q4,0.460650821796728,-0.15684198656279574
aok nordwest,2024,1,2024 Q1,-0.2364212941097092,0.034984337696014306
aok nordwest,2024,2,2024 Q2,0.1335952033776186,-0.11707385518658152
aok nordwest,2024,3,2024 Q3,0.08100476527754825,-0.11778123665064179
aok nordwest,2024,4,2024 Q4,0.35938984710184574,-0.06837738611314483
aok nordwest,2025,1,2025 Q1,-0.28561258542376106,0.2798861622632569
aok plus,2016,1,2016 Q1,1.820262347328682,1.1622558557903355
aok plus,2016,2,2016 Q2,5.415827191349367,0.736778842421186
aok plus,2016,3,2016 Q3,1.481970713800706,1.7231155292128573
aok plus,2016,4,2016 Q4,1.0343169781034078,1.8551356275840332
aok plus,2017,1,2017 Q1,0.4036790042086436,0.5090253040356209
aok plus,2017,2,2017 Q2,0.6700019231319084,0.4504571796971263
aok plus,2017,3,2017 Q3,0.6440272146533019,0.5805058341304294
aok plus,2017,4,2017 Q4,0.8893661864568618,0.6205301593533836
aok plus,2018,1,2018 Q1,0.24051725194958068,0.7720899535023961
aok plus,2018,2,2018 Q2,0.5373329220291972,0.5014236073294505
aok plus,2018,3,2018 Q3,0.5310011763694971,0.6575487909802652
aok plus,2018,4,2018 Q4,0.7765993013858822,0.8601956196365876
aok plus,2019,1,2019 Q1,0.13900637462818421,0.6465831977483947
aok plus,2019,2,2019 Q2,0.5435609538550329,0.4604763401933152
aok plus,2019,3,2019 Q3,0.19594950712567383,0.4519412299308871
aok plus,2019,4,2019 Q4,0.6760559817357373,0.5277321170517774
aok plus,2020,1,2020 Q1,0.029856658478256373,0.537163375701318
aok plus,2020,2,2020 Q2,0.47686208567780985,0.8892128683677121
aok plus,2020,3,2020 Q3,0.17555269687545613,0.8066782598857308
aok plus,2020,4,2020 Q4,0.30883499293147715,1.3565270410017807
aok plus,2021,1,2021 Q1,-0.20781722036418504,0.5790422015804483
aok plus,2021,2,2021 Q2,-0.08344665481939262,0.762682716967518
aok plus,2021,3,2021 Q3,0.0044400166592360605,0.645684093813333
aok plus,2021,4,2021 Q4,0.3408387075942196,0.7849216415877751
aok plus,2022,1,2022 Q1,-0.24720025597659642,0.8402018216228816
aok plus,2022,2,2022 Q2,0.10601697664657159,0.5024600701863347
aok plus,2022,3,2022 Q3,0.29398441531047986,-0.031437884246546935
aok plus,2022,4,2022 Q4,0.9094543748413987,0.3655270028632771
aok plus,2023,1,2023 Q1,-0.06715651847003266,0.4375841375678562
aok plus,2023,2,2023 Q2,-0.10529223846302298,0.16640174434585273
aok plus,2023,3,2023 Q3,0.09115856189122663,0.31518086510572163
aok plus,2023,4,2023 Q4,0.43343265335092795,0.38171554607236635
aok plus,2024,1,2024 Q1,-0.19625638157750036,0.31354035629387395
aok plus,2024,2,2024 Q2,-0.09158336253644368,0.2032686291718513
aok plus,2024,3,2024 Q3,0.0039053530457233672,0.30890194310770447
aok plus,2024,4,2024 Q4,0.37844285914194786,0.36083640419926744
aok plus,2025,1,2025 Q1,-0.29333478385696876,0.42120406161043844
